id,title,genres,authors,description,readers_count,avg_rating
131159,Чудовище,"Социальная фантастика,Научная фантастика",Кирилл Бенедиктов,,10,5.0
126560,Близкие миры,Научная фантастика,Евгений Гаркушев,,8,5.0
152182,И гром не грянул,Научная фантастика,Евгений Лукин,,17,5.0
98189,Избранные. Спортивная фантастика,Научная фантастика,"Сергей Пашков,Александр Лебедев,Евгения Езерская,Анатолий Герасименко,Андрей Ваон,Юлия Горина,Руслан Лютенко,Юрий Благоразумов,Наталья Буренчева,Михаил Гречанников,Владимир Ромахин,Дарья Странник",,21,4.8
213951,Время сгорает без остатка,Научная фантастика,Владимир Михановский,,19,4.2
266464,Имортист,Научная фантастика,Юрий Никитин,,15,4.2
62121,Летучий Голландец,Научная фантастика,Юрий Никитин,,19,5.0
297425,Цунами,Научная фантастика,Василий Головачев,,14,
307229,Луч,"Социальная фантастика,Научная фантастика",Марина и Сергей Дяченко,,45,5.0
13149,Жуки в муравейнике,Научная фантастика,Николай Романецкий,,14,4.0
56134,Когда мир сломался,Научная фантастика,Павел Иевлев,,19,4.4
215262,Спонтанный рефлекс,Научная фантастика,Аркадий и Борис Стругацкие,,17,4.8
112102,Звезды – холодные игрушки,"Космическая фантастика,Научная фантастика",Сергей Лукьяненко,,89,4.7
110669,Эндимион,"Зарубежная фантастика,Космическая фантастика,Научная фантастика",Дэн Симмонс,,23,4.4
86451,Царицын ключ,"Зарубежная фантастика,Научная фантастика",Кир Булычев,,16,4.7
127741,Чужой мир,"Социальная фантастика,Научная фантастика",Анастасия Медведева,,23,4.8
48270,Атолл Факаофо,Научная фантастика,Иван Ефремов,,16,1.0
219237,Светопреставление,"Литература 20 века,Научная фантастика,Классика фантастики",Александр Беляев,,11,5.0
73215,Спящий джинн,Научная фантастика,Василий Головачев,,18,4.7
184885,Суицид не средство,Научная фантастика,Юлия Остапенко,,19,4.6
303645,Категория «зет»,Научная фантастика,Сергей Лукьяненко,,32,4.9
292891,"Мигрант, или Brevi finietur",Научная фантастика,Марина и Сергей Дяченко,,16,
1080,Племя Сварога,Научная фантастика,Юрий Климонов,,16,
55093,…хоть потоп!,Научная фантастика,Кир Булычев,,18,5.0
295385,Колдун,Научная фантастика,Алексей Калугин,,9,5.0
23183,Тирмен,Научная фантастика,"Генри Олди,Андрей Валентинов",,16,5.0
28943,Мышки-кошки,Научная фантастика,Олег Дивов,,21,3.4
16601,Голубятня на желтой поляне,Научная фантастика,Владислав Крапивин,,22,4.9
123678,Сбой системы,"Научная фантастика,Юмористическая фантастика",Евгений Гаркушев,,18,4.8
120574,Международный день борьбы с суевериями,"Научная фантастика,Юмористическая фантастика",Кир Булычев,,17,4.3
16012,Мой человек со звезд,Научная фантастика,"Майк Гелприн,Наталья Анискова",,16,4.5
33931,Аргентумный ключ,Научная фантастика,Сергей Лукьяненко,,29,3.8
40253,Консервы,Научная фантастика,Игорь Пронин,,7,
3927,Поделись со мной…,"Социальная фантастика,Научная фантастика",Кир Булычев,,15,5.0
310956,Лидер,Научная фантастика,Михаил Пухов,,12,3.7
121371,Маршрут Оккама,Научная фантастика,Далия Трускиновская,,20,4.7
198476,Жидкое солнце,Научная фантастика,Александр Куприн,,21,4.3
286779,Вечерняя беседа с господином особым послом,Научная фантастика,Сергей Лукьяненко,,41,4.8
20197,Шишак,Научная фантастика,Святослав Логинов,,13,5.0
289561,Ни дня без сенсации,Научная фантастика,Алексей Евтушенко,,17,4.7
83831,Енот допрыгался,Научная фантастика,Олег Дивов,,16,4.9
244574,Война внутри,Научная фантастика,Алексей Иващенко,,12,5.0
143757,Флейта и Ветер,Научная фантастика,Дмитрий Янковский,,19,5.0
317139,Лунная девушка,"Зарубежная фантастика,Научная фантастика",Эдгар Берроуз,,18,4.0
12366,Имеется точный адрес,"Космическая фантастика,Научная фантастика",Михаил Пухов,,15,3.7
221741,Шерлок Холмс против марсиан,"Детективная фантастика,Научная фантастика",Генри Олди,,24,4.5
265815,Два дни в жизни земного шара,"Зарубежная фантастика,Литература 19 века,Научная фантастика",Владимир Одоевский,,11,5.0
72687,Безумие Бардов,Научная фантастика,Иар Эльтеррус,,24,4.0
277751,"Человек, нашедший своё лицо","Социальная фантастика,Литература 20 века,Научная фантастика,Классика фантастики",Александр Беляев,,15,5.0
248129,Колесо Перепёлкина,Научная фантастика,Владислав Крапивин,,15,4.2
283775,На том берегу,Научная фантастика,Генри Олди,,47,4.5
150369,Корпорация «Марионетки»,"Зарубежная фантастика,Научная фантастика",Рэй Брэдбери,,15,5.0
181480,Прекрасна планета. Книга-размышление,Научная фантастика,Сергей Лазарев,,12,5.0
75332,Корабль «Король Лев». Фантастика,Научная фантастика,Константин Худяков,,13,3.0
301102,Франкенштейн,Научная фантастика,Мэри Шелли,,21,4.7
226918,Джон Картер и Великан,"Зарубежная фантастика,Научная фантастика",Эдгар Берроуз,,23,4.0
20927,Несчастный случай,"Зарубежная фантастика,Космическая фантастика,Научная фантастика",Станислав Лем,,22,4.3
317422,Экологическая безопасность среды обитания человека. Средство обеспечения экологической безопасности внутренней среды обитания,Научная фантастика,Равиль Тулумбаев,,11,5.0
78519,Шанс для динозавра,Научная фантастика,Александр Громов,,16,5.0
268121,Будущее,"Социальная фантастика,Научная фантастика",Дмитрий Глуховский,,254,4.9
108798,"Город, в котором никто не выходит","Зарубежная фантастика,Научная фантастика,Классика фантастики",Рэй Брэдбери,,14,5.0
260498,"Сезам, откройся!!!","Литература 20 века,Научная фантастика,Классика фантастики",Александр Беляев,,15,5.0
5399,Остров Погибших Кораблей,"Литература 20 века,Научная фантастика,Классика фантастики",Александр Беляев,,13,4.3
313791,Монументы Марса,Научная фантастика,Кир Булычев,,13,4.0
301333,Марш экклезиастов,"Социальная фантастика,Научная фантастика","Михаил Успенский,Андрей Лазарчук,Ирина Андронати",,13,4.0
231881,Звенящий кирпич,"Научная фантастика,Юмористическая фантастика",Кир Булычев,,16,3.0
277364,Эффект присутствия,Научная фантастика,Юрий Никитин,,19,4.8
232716,Колыбель для кошки,Научная фантастика,Курт Воннегут,,19,4.7
277716,Пропавший остров,"Литература 20 века,Научная фантастика,Классика фантастики",Александр Беляев,,13,4.3
142870,Из жизни дантистов,Научная фантастика,Кир Булычев,,14,5.0
5097,Непостижимая концепция,Научная фантастика,Вадим Панов,,17,4.8
220137,Башни над городом,Научная фантастика,Александр Конторович,,27,4.7
215259,Фуор,Научная фантастика,Василий Головачев,,13,4.0
110303,Выстрел с монитора,Научная фантастика,Владислав Крапивин,,21,4.7
255260,Воин бессознания,"Детективная фантастика,Научная фантастика",Алексей Андреев,,12,4.0
219007,Полный стакан,"Социальная фантастика,Научная фантастика",Игорь Пронин,,18,4.7
166144,Зов из бездны,Научная фантастика,Михаил Ахманов,,11,5.0
272304,Профессионал,Научная фантастика,Сергей Лукьяненко,,89,4.8
45512,Последние сто минут,Научная фантастика,Кир Булычев,,18,5.0
131698,Белое платье Золушки,"Социальная фантастика,Зарубежная фантастика,Научная фантастика",Кир Булычев,,17,4.8
40545,Темные отражения,"Социальная фантастика,Зарубежная фантастика,Научная фантастика",Александра Бракен,,29,4.8
872,Я вас первым обнаружил!,Научная фантастика,Кир Булычев,,12,4.7
95743,Предание о первом атеисте,Научная фантастика,Сергей Лукьяненко,,18,4.8
209447,Стрелы Перуна с разделяющимися боеголовками,Научная фантастика,"Николай Чадович,Юрий Брайдер",,17,4.0
20311,Лезвие бритвы. Звездные корабли. Обсерватория Нур-и-Дешт. Озеро горных духов,"Научная фантастика,Классика фантастики",Иван Ефремов,,20,5.0
177233,Город золота и свинца,"Зарубежная фантастика,Научная фантастика",Джон Кристофер,,11,4.8
252220,Инъекция страха,Научная фантастика,Александр Щёголев,,14,4.7
137890,Наш гештальт в тумане светит,Научная фантастика,Олег Дивов,,9,3.0
66579,Терпение и труд,Научная фантастика,Кир Булычев,,9,5.0
128506,Между дьяволом и глубоким синим морем,"Социальная фантастика,Научная фантастика",Олег Дивов,,17,4.0
