id,title,genres,authors,description,readers_count,avg_rating
230768,1917: Человек из раньшего времени. Библиотека «Проекта 1917»,"Книги о приключениях,Историческая литература",,,14,4.4
177197,"Верный и заботливый муж. Явки, пароли, секреты. Удачное знакомство, быстрое замужество, долгие счастливые отношения","Семейная психология,Психологические тренинги",,,243,4.5
233624,"Нескучная книга о счастье, деньгах и своем предназначении","Практическая эзотерика,Саморазвитие / личностный рост,Практическая психология,Психологические тренинги",,,30,4.8
142632,10 законов рэпа. Настоящий рэппер,"Биографии и мемуары,Современная русская литература",,,8,5.0
108842,100 великих гениев,"Научно-популярная литература,Биографии и мемуары",,,11,5.0
58123,100 великих научных открытий,Научно-популярная литература,,,14,4.7
125590,100 великих тайн человека,"Научно-популярная литература,Анатомия и физиология,Энциклопедии",,,21,3.0
90932,100 волшебных сказок,"Зарубежные детские книги,Сказки",,,24,4.0
86769,100 вопросов – 100 ответов. Хрестоматия,"Справочная литература,Учебная литература",,,20,5.0
183698,100 молитв на быструю помощь. Главные молитвы на деньги и материальное благополучие,"Православные молитвы,Религиозные тексты",,,17,4.6
138106,100 сказок народов мира,"Зарубежные детские книги,Сказки",,,11,3.5
146108,100 шагов навстречу,"Книги о приключениях,Остросюжетные любовные романы,Современные любовные романы",,,17,4.0
153916,1000 английских глаголов. Запоминалки,Языкознание,,,13,4.7
96443,1000 анекдотов,Юмор и сатира,,,16,4.5
50147,1000 блюд за 5 минут,Кулинария,,,16,4.0
31426,1000 лучших рецептов пиццы,Кулинария,,,18,4.7
59228,1000 лучших рецептов раздельного питания,Кулинария,,,17,4.5
71976,1000 поговорок и пословиц про всё на свете,"Детская познавательная и развивающая литература,Воспитание детей",,,17,4.5
262893,1000 пословиц и поговорок,"Детская познавательная и развивающая литература,Воспитание детей",,,8,5.0
309776,"1000 пословиц, загадок, поговорок",Книги для детей,,,12,5.0
156239,"1000 рецептов молодости. Лечебные маски для лица, ванны для тела, массажные ванночки для ног",Здоровье,,,17,
216277,1000 рецептов на скорую руку,"Справочная литература,Кулинария",,,14,
