id,title,genres,authors,description,readers_count,avg_rating
41209,Бытие мое,,Алексий Этимон,,21,5.0
100866,Где выход?,,Лев Толстой,,10,5.0
56327,Давние знакомства,,Дмитрий Ильин,,15,5.0
283428,"Диагноз – жизнь. Рецепты. Практические советы о сохранении силы и здоровья, состояния покоя, радости и желания исполнять свои мечты",,Юлия Болгова,,14,3.7
289311,Закон о частном радиолюбительстве,,Александр Беляев,,10,5.0
145092,"Заложница страха, или история моего одиночества",,Юлия Шилова,,43,4.1
104613,Золотой павлин,,Наталья Солнцева,,15,5.0
116867,Как изменить свою жизнь за 7 дней,,Флоренс Шинн,,20,4.5
158565,Кликни Деда Мороза,,Анна и Сергей Литвиновы,,17,5.0
306751,Контракт с плейбоем,,Марина Серова,,12,
100829,Моя жизнь – дизайн! Первые шаги в проектировании жизни,,Анна Миронец,,15,5.0
57302,"Не только о татарах… Скорее, мысли вслух",,Гочмурад Гутлыев,,15,5.0
27721,О внешней торговле,,Иван Вернадский,,15,5.0
91029,Поп-корн,,Андрей Кивинов,,17,5.0
280240,Почему я выпрыгнул в окно?,,Антон Романовский,,12,5.0
135031,Простой способ понять и запомнить сложное: Конспект-карта,,Ильдар Гильфанов,,14,
18664,Разделяй и властвуй!,,Марина Серова,,19,4.2
14693,Свобода книги и революция,,Анатолий Луначарский,,9,5.0
300462,Табу на нежные чувства,,Марина Серова,,15,5.0
122166,Так распорядилась война,,Леонид Бударин,,13,3.7
269363,У небес добавки не просят. Навеяно февралем,,"JuNaVi JuNaVi,Наталья Журавлева",,13,4.0
