id,title,genres,authors,description,readers_count,avg_rating
118973,в_чёрном_теле,Современные детективы,Мария Долонь,,21,4.3
97322,черная_полка,Современные детективы,Мария Долонь,,44,4.8
46112,черные_дельфины,Современные детективы,Мария Долонь,,20,5.0
30994,$1 000 000 наличными,Современные детективы,Анна и Сергей Литвиновы,,18,3.8
238960,100% брэнд. Как продавать счастье,Привлечение клиентов,Владимир Ляпоров,,30,3.5
69957,147 советов по личной эффективности. Аудиокурсы стоимостью $500 в подарок каждому читателю,Общая психология,Андрей Парабеллум,,35,4.8
307883,"200 дней на юг. Впервые автостопом из Москвы через всю Африку, до Намибии и Анголы. 2000—01 годы","Книги о путешествиях,Современная русская литература",Антон Кротов,,18,5.0
4843,2001: Космічна одіссея,"Зарубежная фантастика,Космическая фантастика,Научная фантастика,Классика фантастики",Артур Чарльз Кларк,,15,5.0
198804,2010: Друга одіссея,"Зарубежная фантастика,Космическая фантастика,Научная фантастика,Классика фантастики",Артур Чарльз Кларк,,13,5.0
141864,221B. Убийство в Стоунхендже. Рассказ,Современные детективы,Александр Мирошник,,17,3.0
302860,"50 оттенков стиля. Философия стиля в руководстве для тех, кто знает, что стиль – это больше, чем созданный образ","Рукоделие и ремесла,Общая психология",Анна Даева,,16,5.0
290650,"8, 9 – аут. Потустороннее","Книги о приключениях,Современные детективы",Владимир Буров,,17,5.0
92509,ARMAGEDDON 2176. Научная фантастика,Научная фантастика,Valera Bober,,17,
215809,Alatis. Судьба,"Книги о приключениях,Боевое фэнтези,Городское фэнтези",Грейс Амбер Ланкастер,,12,4.5
320456,Also sprach Zarathustra: Ein Buch für Alle und Keinen / Так говорил Заратустра. Книга для всех и ни для кого. Книга для чтения на немецком языке,"Книги по философии,Зарубежная классика,Литература 19 века,Немецкий язык",Фридрих Ницше,,15,3.7
276230,Assassin's Creed. Кредо убийцы,"Зарубежная фантастика,Историческая фантастика",Кристи Голден,,23,5.0
220843,Assassin's Creed. Одиссея,"Зарубежная фантастика,Героическая фантастика,Историческая фантастика",Гордон Догерти,,17,5.0
163572,Assassin's Creed. Последние потомки. Гробница хана,"Зарубежная фантастика,Историческая фантастика",Мэтью Кирби,,7,
181126,Assassin's Creed. Последние потомки: Участь богов,"Зарубежная фантастика,Историческая фантастика",Мэтью Кирби,,15,4.5
285408,Assassin’s Creed. Последние потомки,"Зарубежная фантастика,Историческая фантастика",Мэтью Кирби,,22,5.0
2755,BIOS. Экспресс-курс,"Компьютерное железо,Техническая литература",Антон Трасковский,,19,4.7
58305,BOSS на час,Современные любовные романы,Надежда Волгина,,12,4.6
128444,Blockchain и логистика,Прочая образовательная литература,Маргарита Акулич,,14,4.8
133083,Boule de Suif / Пышка. Книга для чтения на французском языке,"Французский язык,Зарубежная классика,Литература 19 века",Ги де Мопассан,,12,4.0
259915,C Гёте в мире духов,"Парапсихология,Мистика,Зарубежная эзотерическая литература,Спиритизм / пророчества / предсказания",Аннекатрин Пуле,,16,4.3
280607,Carmen / Кармен. Книга для чтения на французском языке,"Французский язык,Зарубежная классика,Литература 19 века,Классические любовные романы",Проспер Мериме,,16,
284396,Carpe Jugulum. Хватай за горло!,"Зарубежная фантастика,Зарубежное фэнтези,Юмористическая фантастика,Книги про волшебников",Терри Пратчетт,,24,4.2
