id,title,genres,authors,description,readers_count,avg_rating
7147,(Не) вероятная любовь,Современные любовные романы,Элла Вюнше,,14,5.0
170815,(Не) моя история любви,"Короткие любовные романы,Современные любовные романы",Наталья Путиенко,,30,4.8
280327,(Не) отец моего малыша,"Эротические романы,Остросюжетные любовные романы,Современные любовные романы",Дана Стар,,51,4.4
318725,(Не)Кулинарная книга. Писательская кухня на Бородинском поле,"Кулинария,Современная русская литература",Татьяна Соломатина,,17,4.7
168339,"(Не)запрещенное цензурой. О Боге, религии, церкви","Книги по философии,Духовная литература,Русская классика",Лев Толстой,,16,4.8
82717,(Не)идеальный,"Эротические романы,Современные любовные романы,Современная русская литература","Наталья Путиенко,Алиса Чудная",,12,4.0
142490,(Не)рабыня для Шейха ада,"Эротическое фэнтези,Любовное фэнтези,Эротическая литература",Юлия Рябинина,,22,5.0
222435,(Не)совершенная случайность. Как случай управляет нашей жизнью,"Зарубежная образовательная литература,Математика",Леонард Млодинов,,20,4.5
179635,(Не)счастье для дракона,"Любовное фэнтези,Фэнтези про драконов",Алиса Квин,,108,4.7
243772,(Нео)сознанное. Как бессознательный ум управляет нашим поведением,"Нейропсихология,Социальная психология",Леонард Млодинов,,18,4.8
61213,(О переводе),"Литература 19 века,Критика",Александр Бестужев-Марлинский,,19,5.0
310576,(не) предсказуемый эксперимент. последовательность рассказов,"Современная русская литература,Научная фантастика",Дмитрий Чайка,,11,3.0
79482,10 дней в ИГИЛ* (* Организация запрещена на территории РФ),"Зарубежная публицистика,Биографии и мемуары,Документальная литература",Юрген Тоденхёфер,,18,5.0
134265,"10 ошибок, которые мы уже сделали за вас. В помощь начинающему руководителю школьной команды КВН (из личного опыта работы)","Юмор и сатира,Развлечения",Ольга Завьялова,,10,5.0
53184,100 дней до приказа (сборник),Современная русская литература,Юрий Поляков,,19,4.5
9000,12 историй о настоящей любви (сборник),"Зарубежные любовные романы,Короткие любовные романы,Современные любовные романы","Келли Линк,Дэвид Левитан,Гейл Форман,Холли Блэк,Дженни Хан,Элли Картер,Кирстен Уайт,Рейнбоу Рауэлл,Мэтт де ла Пенья,Стефани Перкинс,Майра Макинтайр,Лэйни Тэйлор",,34,5.0
59990,12 месяцев (сборник),"Стихи и поэзия,Современная русская литература",Владимир Фомичев,,10,
47828,12 новых историй о настоящей любви (сборник),Современная зарубежная литература,"Дженнифер Смит,Кассандра Клэр,Вероника Рот,Либба Брэй,Стефани Перкинс,Лев Гроссман,Ли Бардуго,Нина Лакур,Франческа Блок,Тим Федерли,Джон Сковрон,Брэнди Колберт",,12,3.0
182171,13 монстров (сборник),"Ужасы,Мистика","Борис Левандовский,Олег Кожин,Майк Гелприн,Шимун Врочек,Михаил Киоса,Александр Матюхин,Алексей Жарков,Максим Кабир,Елена Щетинина,Николай Иванов,Ярослав Землянухин,Лариса Львова,Юлия Лихачева",,20,5.0
83421,17 рассказов (сборник),"Зарубежные детективы,Классические детективы",Артур Конан Дойл,,19,5.0
61327,1984. Скотный двор (сборник),"Социальная фантастика,Литература 20 века",Джордж Оруэлл,,112,4.8
228616,2084.ru (сборник),"Социальная фантастика,Боевая фантастика,Научная фантастика","Евгений Лукин,Антон Первушин,Юлия Зонис,Виктор Точинов,Вячеслав Рыбаков,Дмитрий Казаков,Юрий Бурносов,Олег Дивов,Василий Мидянин,Кирилл Бенедиктов,Сергей Лукьяненко,Дарья Зарубина,Сергей Жигарев",,47,3.4
82534,300 СЛОВ identic.=одинак.-ов (=of) русских-english natural-ных. Занимательная единость,Языкознание,Андрей Романовский-Коломиецинг,,6,
243901,33 (сборник),Современная русская литература,Наталия Шеметова,,8,5.0
284251,47 отголосков тьмы (сборник),"Ужасы,Мистика,Триллеры","Виталий Вавикин,Григорий Неделько,Джей Арс,Дмитрий Кеплер,Сергей Капрарь,Андрей Миля,Григорий Андреев,Илья Розов,Мария Иванова,Георгий Захаров,Дориана Грей,Юлия Беанна,Александр Сидоренко,Владимир Чакин",,7,5.0
191123,7 красных линий (сборник),Современная русская литература,Алексей Березин,,32,5.0
239681,Brush up your English (Совершенствуйте знания английского языка),Языкознание,Елизавета Хундаева,,19,
201713,Cказочная книга (сборник),Сказки,Эдуард Успенский,,21,
30601,Extremo (сборник),Современная зарубежная литература,Луис Ривера,,19,5.0
36418,FIFA WC (ворлд кап) 2018,Современная русская литература,Борис Бурный,,13,4.7
156855,"Future in the Past (будущее в прошедшем) в английском языке. Построение, употребление, упражнения",Языкознание,Татьяна Олива Моралес,,16,4.8
81809,Homo sensum (человек смыслопорождающий),Социальная философия,Станислав Морозов,,12,4.5
184031,Lays and Legends (Second Series),"Зарубежная поэзия,Стихи и поэзия,Зарубежная классика",Эдит Несбит,,16,5.0
92726,Locked-in Range Analysis: Почему большинство трейдеров обязаны потерять деньги на рынке фьючерсов (Форекс),Ценные бумаги / инвестиции,Том Лекси,,16,3.3
37125,Martin Eden / Мартин Иден (в сокращении). Книга для чтения на английском языке,"Английский язык,Прочая образовательная литература",Джек Лондон,,13,5.0
121124,Matador (сборник),Современная зарубежная литература,Луис Ривера,,13,5.0
142320,Relics. Раннее и неизданное (сборник),Современная русская литература,Виктор Пелевин,,21,4.0
