id,title,genres,authors,description,readers_count,avg_rating
93219,1000 вопросов и ответов по гинекологии,"Научные справочники,Популярные справочники,Акушерство и гинекология",Елена Березовская,,31,4.4
288884,12 лучших художников Возрождения,"Изобразительное искусство,Искусствоведение,История искусства",Паола Волкова,,15,5.0
76158,200 занимательных логических задач,"Научно-популярная литература,Логика",Дмитрий Гусев,,25,5.0
26875,24 часа в Древнем Риме,"История Древнего мира,Популярно об истории",Филипп Матисзак,,14,4.7
257901,"99 глупых вопросов об искусстве и еще один, которые иногда задают экскурсоводу в художественном музее","Изобразительное искусство,Искусствоведение,История искусства,Музеи и коллекции",Алина Никонова,,23,3.4
95382,99 секретов астрономии,"Научно-популярная литература,Астрономия",Наталья Сердцева,,14,4.3
2755,BIOS. Экспресс-курс,"Компьютерное железо,Техническая литература",Антон Трасковский,,19,4.7
243042,"HR-брендинг. Управление талантами, онлайн-обучение, геймификация и еще 15 эффективных практик","Поиск и подбор персонала,Управление персоналом",Нина Осовицкая,,12,4.3
229859,The Three Sisters / Три сестры,"Прочая образовательная литература,Литература 19 века,Русская классика,Русская драматургия",Антон Чехов,,14,5.0
127436,"«Восточный экспресс» в Вечность для Р. Б., Г. К. Ч. и Дж. Б. Ш.",Зарубежная поэзия,Рэй Брэдбери,,13,4.8
7083,А старый пират…,Зарубежная поэзия,Эдуард Лимонов,,14,4.5
117930,"А что, если они нам не враги? Как болезни спасают людей от вымирания","Научно-популярная литература,Генетика",Шарон Моалем,,22,5.0
162401,Августовские пушки,"Новое время,Зарубежная образовательная литература,Книги о войне,Популярно об истории",Барбара Такман,,9,5.0
259666,Азбука аналитики,"Экономический анализ,Книги по философии,Государственное и муниципальное управление,Социология",Юрий Курносов,,19,4.0
22295,Алгебра аналитики. Секреты мастерства в аналитической работе,"Экономический анализ,Книги по философии,Государственное и муниципальное управление,Социология",Юрий Курносов,,16,5.0
317154,Альрауне,Классика приключенческой литературы,Ганс Эверс,,17,2.0
65566,Аморальная история,Русская драматургия,"Эмиль Брагинский,Эльдар Рязанов",,36,4.3
262023,Аналитика как интеллектуальное оружие,"Экономический анализ,Книги по философии,Государственное и муниципальное управление,Социология",Юрий Курносов,,17,4.2
31547,Ангелы поют на небесах. Пасхальный сборник Сергея Дурылина,"Русская классика,Православие,Русская поэзия",Сергей Дурылин,,13,
136150,Андин. Исторические очерки об армянах в Китае,"Археология,Источниковедение,Всемирная история",Рубен Гини,,10,5.0
10831,Анти-Дюринг,"Социальная философия,Книги по философии,Зарубежная образовательная литература",Фридрих Энгельс,,10,4.0
41674,Апокалипсис в искусстве. Путешествие к Армагеддону,"Изобразительное искусство,Искусствоведение,История искусства,Христианское искусство",Софья Багдасарова,,10,
75735,Апокалипсис смысла. Сборник работ западных философов XX – XXI вв.,"Метафизика,Социальная философия,Книги по философии","Георг Зиммель,Рене Генон,Элвин Тоффлер,Хейди Тоффлер,Жан-Люк Нанси,Эмиль-Мишель Чоран,Витторио Хёсле",,20,5.0
111911,Арийские корни Руси. Предки русских в Древнем мире,"Этнография,История Древнего мира",Анатолий Абрашкин,,10,5.0
197436,Артефакты Российской истории,"Археология,Хронология,Документальная литература",Александр Варакин,,10,5.0
241262,Архангелы и Ангелы – наши покровители,"Священное Писание,Православие",Таисия Олейникова,,16,3.0
176868,Астрономия за 1 час,"Научно-популярная литература,Астрономия",Наталья Сердцева,,19,4.5
272885,"Астрофизика с космической скоростью, или Великие тайны Вселенной для тех, кому некогда","Научно-популярная литература,Астрономия,Физика",Нил Тайсон,,26,4.7
216173,"Баскервиль-холл, собака, точка",Русская драматургия,Константин Костенко,,12,4.0
80731,Басни,Юмористические стихи,Сергей Михалков,,20,4.0
162508,Без очков. Восстановление зрения без лекарств,Офтальмология,Марина Ильинская,,14,4.3
70352,Безумие ли? Как психиатры выставляют диагноз?,"Научно-популярная литература,Психиатрия,Популярно о медицине",Александр Граница,,20,4.8
201534,Биология. Большой сборник тематических заданий для подготовки к основному государственному экзамену,"ГИА по биологии (ОГЭ, ГВЭ),Биология 9 класс","Георгий Лернер,Ирина Лобачёва",,11,
188,Божественная комедия,"Зарубежная поэзия,Метафизика,Зарубежная старинная литература,Европейская старинная литература",Данте Алигьери,,98,4.3
