id,title,genres,authors,description,readers_count,avg_rating
72582,DUO,Современные любовные романы,Юлия Ковалькова,,22,5.0
170791,INSTADRUG,Современная русская литература,Диана Лилит,,36,4.8
89830,crm_is,"Просто о бизнесе,Прочая образовательная литература,Руководства,Публицистика,Современная русская литература",Павел Цапюк,,16,5.0
179409,.. Message ..,"Стихи и поэзия,Книги про волшебников",Sasha Лирэй,,16,4.8
271182,37 Geminorum,Научная фантастика,Иван Фастманов,,12,5.0
23766,A Book of Burlesque: Sketches of English Stage Travestie and Parody,Зарубежная классика,William Adams,,19,5.0
306458,A Charge of Valor,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,9,4.7
62726,A Christmas Carol. The original manuscript,Зарубежная классика,Чарльз Диккенс,,18,5.0
7160,A Christmas Greeting: A Series of Stories,"Сказки,Зарубежная классика",Ганс Андерсен,,15,5.0
283908,A Dirge for Princes,"Зарубежное фэнтези,Боевое фэнтези,Любовное фэнтези,Фэнтези про драконов",Морган Райс,,10,5.0
145956,A Dream of Mortals,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,7,5.0
81200,A Fate of Dragons,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,16,3.5
234945,A Fluttered Dovecote,Зарубежная классика,George Fenn,,19,4.6
142027,A Girl of the North. A Story of London and Canada,Зарубежная классика,Susan Jones,,20,4.2
174409,A Land of Fire,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,14,5.0
95521,A Rule of Queens,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,15,4.0
19773,A Sea of Shields,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,12,5.0
148626,A Trace of Crime,"Триллеры,Полицейские детективы",Блейк Пирс,,18,5.0
144486,A Trace of Death,"Триллеры,Полицейские детективы",Блейк Пирс,,15,5.0
240090,A Trace of Hope,"Триллеры,Полицейские детективы",Блейк Пирс,,17,4.0
43981,A Trace of Vice,"Триллеры,Полицейские детективы",Блейк Пирс,,10,5.0
181990,"A Wonder Book and Tanglewood Tales, for Girls and Boys",Зарубежная классика,Nathaniel Hawthorne,,12,4.8
235239,Abandoned,Зарубежная классика,Жюль Верн,,10,5.0
77926,Abkhazia in legends,Мифы / легенды / эпос,Lina Belyarova,,15,5.0
176528,Agent Zero,"Триллеры,Политические детективы",Джек Марс,,10,5.0
240645,"Aldan M.A.G. 3,14","Научная фантастика,Юмористическая фантастика",Марина Ясинская,,14,4.7
208361,Allez!,"Литература 19 века,Русская классика",Александр Куприн,,14,5.0
242600,An American Tragedy I,"Зарубежная классика,Литература 20 века",Теодор Драйзер,,14,5.0
165101,An English Squire,Зарубежная классика,Christabel Coleridge,,13,4.5
164960,An Oath of Brothers,"Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,14,4.2
211190,Angel Unawares: A Story of Christmas Eve,Зарубежная классика,"Charles Williamson,Alice Williamson",,12,5.0
144796,Any Means Necessary,"Триллеры,Политические детективы",Джек Марс,,15,4.5
254846,Aproximación A La Neuropsicología,Общая психология,Juan Moisés De La Serna,,20,4.0
42677,Arena One: Slaverunners,"Социальная фантастика,Боевая фантастика,Триллеры",Морган Райс,,19,5.0
54163,Arena Two,"Социальная фантастика,Боевая фантастика,Триллеры",Морган Райс,,9,5.0
217149,Assassin's Creed. Ересь,"Зарубежная фантастика,Историческая фантастика",Кристи Голден,,21,4.7
16920,Atropos,"Триллеры,Полицейские детективы,Современная зарубежная литература",Federico Betti,,14,4.5
20165,Attalea princeps,"Сказки,Литература 19 века",Всеволод Гаршин,,23,5.0
301321,BDSM. Practice. Psychology. Art,"Эротические романы,Руководства,Общая психология",Вероника Ларссон,,22,5.0
225476,Before Dawn,"Книги про вампиров,Любовное фэнтези",Морган Райс,,15,4.7
218133,Before He Covets,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,18,3.0
203879,Before he Kills,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,11,3.5
82989,Before he Sees,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,15,5.0
320490,Bella Mafia,"Зарубежные детективы,Современные детективы",Линда Ла Плант,,17,4.8
47416,"Besame mucho, клуша!",Современные любовные романы,Анна Яковлева,,14,4.3
229721,Black & Red,Полицейские детективы,Татьяна Степанова,,15,5.0
837,Blow job. Bloody sex,"Эротические романы,Мистика,Современные любовные романы",Виталий Мушкин,,15,5.0
160158,"Books and Characters, French & English","Литературоведение,Зарубежная старинная литература,Биографии и мемуары",Lytton Strachey,,13,5.0
74485,Buscando Protección,Комиксы / манга,Aldivan Teixeira Torres,,13,5.0
165844,Captive mistress. English-language novels,"Зарубежные приключения,Исторические любовные романы,Исторические приключения",Элайн Нексли,,15,4.6
264400,Castles and Chateaux of Old Burgundy,Зарубежная классика,Milburg Mansfield,,17,5.0
78155,Cause to Fear,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,12,5.0
85887,Cause to Hide,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,17,4.2
26747,Cause to Kill,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,22,4.8
260021,Cause to Run,"Зарубежные детективы,Триллеры,Полицейские детективы",Блейк Пирс,,20,4.7
99784,Celistic,"Книги о приключениях,Боевики,Научная фантастика",Лэнгли Дэннис,,20,4.2
168610,Cesurun Gecesi,"Героическое фэнтези,Зарубежное фэнтези,Боевое фэнтези",Морган Райс,,16,3.5
191736,Christopher Quarles: College Professor and Master Detective,"Зарубежные детективы,Классические детективы",Percy Brebner,,13,4.6
253930,Classic French Course in English,"Французский язык,Зарубежная образовательная литература,Языкознание",William Cleaver Wilkinson,,11,5.0
28512,Como Superar La Crisis De Los ”Enta”: Renuncien A Todo Y Recuperen Sus Vidas.,Саморазвитие / личностный рост,Cinzia Gravili,,18,4.6
141346,Cynthia Wakeham's Money,Зарубежная классика,Anna Green,,12,4.7
76688,DZA,"Боевая фантастика,Героическая фантастика",Андрей Божок,,14,
11877,David Copperfield I,"Зарубежная классика,Литература 19 века",Чарльз Диккенс,,17,5.0
190506,Dawn,"Зарубежная классика,Литература 19 века",Генри Райдер Хаггард,,13,3.8
142474,De Opkomst Van De Heldhaftige,"Героическое фэнтези,Зарубежное фэнтези,Боевое фэнтези,Фэнтези про драконов",Морган Райс,,11,4.3
29966,Delete,Современные детективы,Анна Данилова,,13,5.0
212828,Der Große Weiße Hase,"Детские стихи,Немецкий язык",Diana Malivani,,15,4.5
18956,Diavolo E Demòni,"Зарубежная религиозная литература,Христианство",Guido Pagliarino,,24,4.5
123526,Die Kleinen Mäusemusikanten,"Детские стихи,Немецкий язык",Diana Malivani,,11,4.3
175747,Dragons corporation,"Любовно-фантастические романы,Любовное фэнтези,Фэнтези про драконов",Виктория Свободина,,46,4.6
304288,Drapieżca,"Социальная фантастика,Детективная фантастика,Научная фантастика",Александр Конторович,,8,
122597,Dreams. Sex in the dialogues,Эротические романы,Марк Довлатов,,17,5.0
182834,El Ruso,"Боевая фантастика,Попаданцы",Александр Башибузук,,25,4.1
117095,English Society,"Зарубежная классика,Зарубежный юмор",George Du Maurier,,10,
104079,Erección de la mañana. Causas y norma,"Прикладная литература,Общая психология,Здоровье,Современная русская литература",Alice Meyer,,15,4.8
175456,Eureka & The Unparalleled Adventure of One Hans Pfaall,"Научная фантастика,Классика фантастики",Эдгар Аллан По,,26,4.0
138537,Fables Fantastiques. Livre 1,"Книги для детей,Общая психология,Русское фэнтези",Dana Erik,,12,4.0
312563,Fated,"Книги про вампиров,Любовное фэнтези",Морган Райс,,12,3.8
102264,Fiamme Oscure,"Ужасы,Современная зарубежная литература",Amy Blankenship,,19,4.5
172417,Five secrets of a healthy life,"Прикладная литература,Руководства,Общая психология,Здоровье",Irina Bjørnø,,16,4.8
13389,Flagelo,"Книги о приключениях,Зарубежные приключения,Современная зарубежная литература",Aldivan Teixeira Torres,,14,
292429,Flemish Legends,Зарубежная классика,Charles de Coster,,25,4.0
136791,Forever and For Always,"Зарубежные любовные романы,Современные любовные романы",Софи Лав,,16,4.0
223056,Fundamentos De La Psicología Clínica,"Клиническая психология,Общая психология",Juan Moisés De La Serna,,14,4.0
72593,Generation «П»,Современная русская литература,Виктор Пелевин,,342,4.6
230604,Girl Scouts at Dandelion Camp,"Зарубежные детские книги,Зарубежная классика",Lillian Roy,,15,5.0
216108,Große Erlebnisse in einer kleinen Welt. Kurzgeschichten auf Deutsch und Russisch,Учебная литература,Ида Родич,,9,5.0
98133,"HTML, XHTML и CSS на 100%","Интернет,Программирование",Игорь Квинт,,13,5.0
254919,Hair-Breadth Escapes: The Adventures of Three Boys in South Africa,Книги о приключениях,Henry Adams,,18,3.0
222771,Helen Grant's Schooldays,"Зарубежные детские книги,Зарубежная классика",Amanda Douglas,,17,4.8
57549,Horoscope for Scorpions – 2018. Russian horoscope,"Юмор и сатира,Развлечения,Здоровье",Александр Невзоров,,14,
234885,How to get rid of jealousy. Psychologist’s advice,"Прикладная литература,Руководства,Общая психология",Christian Bernard,,20,5.0
199381,Ideal woman. Sex and family,"Эротические романы,Книги о приключениях,Современные любовные романы,Русское фэнтези",Виталий Мушкин,,10,
29761,Illuminationes,Современная русская литература,Эдуард Лимонов,,19,4.3
38002,Imaginary Interviews,Зарубежная классика,William Howells,,10,
81979,In memoriam,"Мистика,Зарубежное фэнтези",Рэй Брэдбери,,12,4.5
