id,title,genres,authors,description,readers_count,avg_rating
55284,Книга 2. Бегляночки и розочки,"Сборники,Книги о приключениях,Эротическая литература",Надежда Нелидова,,18,5.0
32145,Книга 1. Воскресший утопленник,"Ужасы,Мистика,Классические детективы,Крутой детектив",Юрий Теплов,,17,4.5
7537,100 способов изменить жизнь. Часть 2,"Саморазвитие / личностный рост,Мотивация",Лариса Парфентьева,,28,4.2
46522,10000 лет до нашей эры. Книга 1,"Боевое фэнтези,Историческое фэнтези,Любовное фэнтези",Катерина Риш,,26,5.0
212861,1Q84. Тысяча Невестьсот Восемьдесят Четыре. Книга 1. Апрель–июнь,Современная зарубежная литература,Харуки Мураками,,46,5.0
122392,1Q84. Тысяча Невестьсот Восемьдесят Четыре. Книга 2. Июль–сентябрь,Современная зарубежная литература,Харуки Мураками,,24,5.0
237212,1Q84. Тысяча Невестьсот Восемьдесят Четыре. Книга 3. Октябрь–декабрь,Современная зарубежная литература,Харуки Мураками,,16,4.2
833,245-й… Исповедь полка. Первая чеченская кампания. Книга 1-я,"Историческая литература,Современная русская литература",Валерий Киселёв,,15,4.5
203010,36 стратагем & Лайфхаки для любви. Часть 1,"Прикладная литература,Руководства,Общая психология",Дмитрий Марыскин,,17,4.0
70729,@ Актер. Часть 1,"Пьесы и драматургия,Современные детективы,Современная русская литература",Юлия Ковалькова,,12,5.0
137747,"A History of Pendennis. Volume 1. His fortunes and misfortunes, his friends and his greatest enemy","Зарубежная классика,Зарубежный юмор",Уильям Теккерей,,19,5.0
270382,Complete-менеджмент (целостность мышления и практики менеджера). Часть 1. Целостный метод менеджера,Менеджмент и кадры,Марат Телемтаев,,9,4.6
41321,RESPAWN. Игры гения. Часть 1,"Книги о приключениях,Современные любовные романы,Современная русская литература,Научная фантастика",Алиса Атрейдас,,19,5.0
122152,S-T-I-K-S. Шатун. Книга 2,Боевая фантастика,Василий Евстратов,,97,4.7
220060,The Bride of the Nile. Volume 06,"Зарубежная классика,Зарубежная старинная литература,Литература 19 века",Georg Ebers,,18,4.5
6627,The Posthumous Papers of the Pickwick Club. Volume 2 of 2,Зарубежная классика,Чарльз Диккенс,,13,5.0
121053,Warcraft. Легенды. Том 2,Комиксы / манга,"Ричард Кнаак,Дэн Джолли,Грейс Рандольф,Аарон Спарроу",,11,5.0
209048,~ А. Часть 2. Найти тебя,Современные любовные романы,Юлия Ковалькова,,22,5.0
67554,~ А. Часть 1. Отношения,Современные любовные романы,Юлия Ковалькова,,20,4.8
158668,"«Покажи мне, зеркало…». Том 1","Исторические любовные романы,Остросюжетные любовные романы,Исторические приключения",Ирада Нури,,10,3.7
261300,А вы пробовали гипноз? Плюс часть II: по письмам читателей. Легендарный бестселлер и его современное продолжение от живого классика НЛП,"Личная эффективность,Саморазвитие / личностный рост,НЛП,Практическая психология",Сергей Горин,,14,5.0
58341,Авантюристы. Книга 4,"Боевая фантастика,Историческая фантастика,Космическая фантастика","Николай Захаров,Анна Ермолаева",,19,4.8
120615,Агрессивность человека. Том 1. Агрессивность и психическая самозащита личности,"Монографии,Состояния и явления психики,Общая психология",Альберт Налчаджян,,13,4.0
217576,Агрессивность человека. Том 2. Социальная и этническая психология агрессии,"Монографии,Состояния и явления психики,Общая психология",Альберт Налчаджян,,16,4.5
190988,Адепт. Том 2. Каникулы,"Попаданцы,Боевое фэнтези,Книги про волшебников",Олег Бубела,,40,4.9
202092,Адепт. Том 1. Обучение,"Героическое фэнтези,Попаданцы,Магические академии",Олег Бубела,,47,4.5
151158,Азбука счастья. Книга I. «Главное о человеке»,"Саморазвитие / личностный рост,Практическая психология",Светлана Лада-Русь,,13,4.5
197171,Академия оборотней: нестандартные. Книга 2,"Любовное фэнтези,Юмористическое фэнтези,Магические академии",Ольга Коротаева,,28,4.4
232227,"Алмазный Меч, Деревянный Меч. Том 2","Героическое фэнтези,Боевое фэнтези,Книги про волшебников",Ник Перумов,,34,5.0
8310,"Алфавит грешника. Часть 1. Женщина, тюрьма и воля",Стихи и поэзия,Владимир Лузгин,,15,4.2
71499,Америка глазами эмигранта. Том 1,"Зарубежные приключения,Книги о путешествиях,Публицистика",Элеонора Мандалян,,17,5.0
109493,Ангелы на льду не выживают. Том 1,Полицейские детективы,Александра Маринина,,199,4.6
296180,Английский словарь газетный для ускоренного изучения английского языка. Часть 3 (1800 слов),Другие словари,Денис Шевчук,,16,5.0
242943,Английский словарь газетный для ускоренного изучения английского языка. Часть 1 (2500 слов),Другие словари,Денис Шевчук,,23,
94290,Английский словарь газетный для ускоренного изучения английского языка. Часть 2 (2800 слов),Другие словари,Денис Шевчук,,16,3.7
255473,Английский словарь разговорный для ускоренного изучения английского языка. Часть 2 (2000 слов),Другие словари,Денис Шевчук,,17,4.5
60918,Английский словарь разговорный для ускоренного изучения английского языка. Часть 1 (2500 слов),Другие словари,Денис Шевчук,,22,4.8
59084,Английский словарь технический для ускоренного изучения английского языка. Часть 1 (1800 слов),Другие словари,Денис Шевчук,,16,4.5
67827,Анна Каренина (в сокращении). Часть 1,"Классическая проза,Литература 19 века,Русская классика",Лев Толстой,,12,4.8
32074,Анна Каренина. Том 1. Части 1-4,"Литература 19 века,Русская классика",Лев Толстой,,40,
315575,Анна Каренина. Том 2. Части 5-8,"Литература 19 века,Русская классика",Лев Толстой,,32,3.3
291606,Антология интима. Amoroso. Цикл «Прутский Декамерон». Книга 1,"Эротические романы,Современные любовные романы",Александр Амурчик,,13,5.0
235662,Аратта. Книга 1. Великая Охота,"Героическое фэнтези,Историческое фэнтези","Анна Гурова,Мария Семёнова",,40,3.9
19577,Аратта. Книга 2. Затмение,"Героическое фэнтези,Боевое фэнтези,Историческое фэнтези","Анна Гурова,Мария Семёнова",,24,4.5
21182,Аратта. Книга 3. Змеиное Солнце,"Героическое фэнтези,Боевое фэнтези,Историческое фэнтези","Анна Гурова,Мария Семёнова",,15,4.4
1041,Арвендейл. Нечистая кровь. Книга 1,"Героическое фэнтези,Боевое фэнтези","Юлия Остапенко,Роман Злотников",,42,4.8
180026,Арвендейл. Нечистая кровь. Книга 2. Корни Тьмы,"Героическое фэнтези,Боевое фэнтези","Юлия Остапенко,Роман Злотников",,25,5.0
165651,Артефактор +. Книга 2. Возвращение блудного императора,Русское фэнтези,Александр Седых,,15,4.0
43320,Артефактор +. Книга 3. Катализатор невозможного,Русское фэнтези,Александр Седых,,17,4.5
202637,Артефактор +. Книга 1. Шаг в неизвестность.,"Историческая фантастика,Русское фэнтези",Александр Седых,,15,4.0
201737,Архипелаг ГУЛАГ. Книга 1,Литература 20 века,Александр Солженицын,,14,4.3
242888,Аскетика. Том I,Религии / верования / культы,"Иоанн Лествичник,Преподобный Исаак Сирин,Преподобный Макарий Египетский,Преподобный Нил Сорский",,11,4.5
3315,Астровитянка. Книга II. Уравнение будущего,"Космическая фантастика,Научная фантастика",Николай Горькавый,,15,5.0
159057,Аукцион судьбы. Книга 1,Современные любовные романы,Марина Кистяева,,35,4.7
8802,Афоризмы и цитаты. Мудрые мысли великих людей. Том 4,Современная русская литература,Григорий Флейшер,,14,5.0
3722,"Баба с возу, кобыле – скучно. Книга 1","Магия / колдовство,Любовное фэнтези,Юмористическое фэнтези",Анабель Ли,,58,4.6
292948,Барабаны осени. Книга 2. Загадки прошлого,"Зарубежные любовные романы,Любовно-фантастические романы,Попаданцы",Диана Гэблдон,,34,4.9
191448,Барабаны осени. Книга 1. На пороге неизведанного,"Зарубежные любовные романы,Любовно-фантастические романы,Попаданцы",Диана Гэблдон,,34,4.6
