id,title,genres,authors,description,readers_count,avg_rating
201623,20 восьмая,Современные любовные романы,Юлия Ковалькова,,49,4.7
224512,Партия,Современные любовные романы,Юлия Ковалькова,,19,4.3
40239,БабаМилосская. Наши: «Код да Винчи» и саги Толкиена,"Книги о приключениях,Современные детективы",Дмитрий Сивков,,9,4.7
282360,Бояться нужно молча,"Социальная фантастика,Героическая фантастика",Мария Британ,,20,4.8
121015,Город за изгородью,Современная русская литература,Эли Фрей,,112,4.6
94941,Дневник Алматинки,Современные любовные романы,Д. Васабова,,14,5.0
236940,Зерна граната,"Стимпанк,Социальная фантастика,Историческая фантастика",Анна Коэн,,17,5.0
203882,Имя для Лис,"Героическое фэнтези,Боевое фэнтези",Ли Виксен,,74,4.3
113439,Ключ Иоко,"Героическое фэнтези,Попаданцы",Варвара Еналь,,12,5.0
92417,Лисье зеркало,"Стимпанк,Социальная фантастика,Историческая фантастика",Анна Коэн,,23,4.1
112878,ЛюбовьНенависть,Современные любовные романы,Анна Джейн,,36,4.4
213650,Между Огней,"Социальная фантастика,Любовное фэнтези",Олли Вингет,,16,4.3
196088,Меня зовут Лис,"Героическое фэнтези,Боевое фэнтези",Ли Виксен,,84,4.9
30554,Мы никогда не знаем…,Легкая проза,Ирина Оганова,,13,5.0
45266,"Мы, дети золотых рудников",Современная русская литература,Эли Фрей,,85,4.6
193358,Охотник на волков,"Героическое фэнтези,Боевое фэнтези",Ли Виксен,,39,4.8
290749,Перо Адалин,Героическое фэнтези,Юта Мирум,,11,
281996,После Огня,"Социальная фантастика,Любовное фэнтези",Олли Вингет,,20,4.0
137195,ПростоЖИВИ,Современная русская литература,О. Дари,,17,4.7
250915,Сказки чужого дома,"Детективное фэнтези,Героическое фэнтези",Эл Ригби,,18,4.5
93022,Текст. Несколько невообразимых переходов во сне,Современная русская литература,Евгений Триморук,,13,4.0
51824,Тени приходят с моря,"Детективное фэнтези,Триллеры",Эл Ригби,,20,5.0
153453,ФейкЛайф,Современная русская литература,Нигина Айви,,10,4.8
103315,моя [не]идеальная жизнь,Современная зарубежная литература,Софи Кинселла,,74,4.5
245443,околотебя,Современные любовные романы,Гульшат Хасанова,,16,5.0
101157,...И никаких вопросов!,Боевое фэнтези,Константин Бояндин,,17,5.0
283892,10 жизней. Шок-истории,Современная русская литература,Алексей Ефимов,,12,5.0
221308,10 историй о любви. О главном,"Современные любовные романы,Современная русская литература",Ольга Забазнова,,13,3.0
